Model,Category,Part Number
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-391J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-392J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-392J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-393J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-393J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-394J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-394J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-430J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-430J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-431J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-431J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-432J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-432J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-433J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-433J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-434J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-434J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-470J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-470J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-471J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-471J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-472J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-472J4LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-473J2LF
Thick Film - AEC-Q200,Fixed Resistors - Chip Arrays,CAT10A-473J4LF
